target,id,question,question_concept,input,input_choices
C,08db69edf0ec5848c1a53dca8fc1601a,"{'question_concept': 'bigger', 'choices': [{'label': 'A', 'text': 'accidental'}, {'label': 'B', 'text': 'detestable'}, {'label': 'C', 'text': 'effusive'}, {'label': 'D', 'text': 'enabled'}, {'label': 'E', 'text': 'apathetic'}], 'stem': 'James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?'}",bigger,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?,"A: accidental, B: detestable, C: effusive, D: enabled, E: apathetic"
D,855ab6ba47f6311104c4d29e24ef0234,"{'question_concept': 'professors', 'choices': [{'label': 'A', 'text': 'methods of facts'}, {'label': 'B', 'text': 'teach courses'}, {'label': 'C', 'text': 'wear wrinkled tweed jackets'}, {'label': 'D', 'text': 'school students'}, {'label': 'E', 'text': 'state facts'}], 'stem': 'Who do professors work with?'}",professors,Who do professors work with?,"A: methods of facts, B: teach courses, C: wear wrinkled tweed jackets, D: school students, E: state facts"
B,afa2899cc21e204fa64e63e7839e8c1e,"{'question_concept': 'drink', 'choices': [{'label': 'A', 'text': 'had a party'}, {'label': 'B', 'text': 'were thirsty'}, {'label': 'C', 'text': 'refreshment'}, {'label': 'D', 'text': 'getting drunk'}, {'label': 'E', 'text': 'celebrating'}], 'stem': 'The hikers stopped to have a drink, simply put they what?'}",drink,"The hikers stopped to have a drink, simply put they what?","A: had a party, B: were thirsty, C: refreshment, D: getting drunk, E: celebrating"
D,f898eb5b789d2dc6804edba269f051f0,"{'question_concept': 'begin work', 'choices': [{'label': 'A', 'text': 'apply for job'}, {'label': 'B', 'text': 'sleep'}, {'label': 'C', 'text': 'concentrate'}, {'label': 'D', 'text': 'shower'}, {'label': 'E', 'text': 'just do'}], 'stem': 'When you get up in the morning before you begin work you should do what?'}",begin work,When you get up in the morning before you begin work you should do what?,"A: apply for job, B: sleep, C: concentrate, D: shower, E: just do"
E,15798a23ee6952fedd6d202064069126,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'complete collection'}, {'label': 'B', 'text': 'own house'}, {'label': 'C', 'text': 'procrastinate'}, {'label': 'D', 'text': 'explode'}, {'label': 'E', 'text': 'have to hold'}], 'stem': 'If a person is trying to keep something in their hand what should they do?'}",person,If a person is trying to keep something in their hand what should they do?,"A: complete collection, B: own house, C: procrastinate, D: explode, E: have to hold"
D,2f0931adc3d0d422d9ab6264395e89d8,"{'question_concept': 'playing baseball', 'choices': [{'label': 'A', 'text': 'sore muscles'}, {'label': 'B', 'text': 'errors'}, {'label': 'C', 'text': 'happiness'}, {'label': 'D', 'text': 'injury'}, {'label': 'E', 'text': 'fun'}], 'stem': 'Playing baseball is a lot like any other sport, there is always a risk of what?'}",playing baseball,"Playing baseball is a lot like any other sport, there is always a risk of what?","A: sore muscles, B: errors, C: happiness, D: injury, E: fun"
A,b1f36d1c8ab7e5a28783cb38e8709c27,"{'question_concept': 'take stand', 'choices': [{'label': 'A', 'text': 'testify'}, {'label': 'B', 'text': 'runaway'}, {'label': 'C', 'text': 'witness'}, {'label': 'D', 'text': 'tell truth'}, {'label': 'E', 'text': 'go home'}], 'stem': 'The victim was to take stand today, they were going to do what?'}",take stand,"The victim was to take stand today, they were going to do what?","A: testify, B: runaway, C: witness, D: tell truth, E: go home"
D,a5e76dd088aab4f89e2fe93f6de6e46d,"{'question_concept': 'grooming', 'choices': [{'label': 'A', 'text': 'cleanliness'}, {'label': 'B', 'text': 'mistakes'}, {'label': 'C', 'text': 'growth'}, {'label': 'D', 'text': 'satisfaction'}, {'label': 'E', 'text': 'late'}], 'stem': 'What does a successful dog grooming session likely to make a owner feel?'}",grooming,What does a successful dog grooming session likely to make a owner feel?,"A: cleanliness, B: mistakes, C: growth, D: satisfaction, E: late"
D,ac6f0e24dd6203cda43e1089dcf081d6,"{'question_concept': 'runner', 'choices': [{'label': 'A', 'text': 'near finish line'}, {'label': 'B', 'text': 'finish'}, {'label': 'C', 'text': 'get tired'}, {'label': 'D', 'text': 'gain ground'}, {'label': 'E', 'text': 'trip over'}], 'stem': 'The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?'}",runner,"The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?","A: near finish line, B: finish, C: get tired, D: gain ground, E: trip over"
B,af836abc58e0daf36df1d8d6830b70c5,"{'question_concept': 'applying for job', 'choices': [{'label': 'A', 'text': 'horror'}, {'label': 'B', 'text': 'anxiety and fear'}, {'label': 'C', 'text': 'rejection'}, {'label': 'D', 'text': 'increased workload'}, {'label': 'E', 'text': 'being employed'}], 'stem': 'What does someone typically feel when applying for a job?'}",applying for job,What does someone typically feel when applying for a job?,"A: horror, B: anxiety and fear, C: rejection, D: increased workload, E: being employed"
E,2ed66cfd206723a006b37599b516ad6e,"{'question_concept': 'obstructing justice', 'choices': [{'label': 'A', 'text': 'prosecution'}, {'label': 'B', 'text': 'getting hurt'}, {'label': 'C', 'text': 'sweat'}, {'label': 'D', 'text': 'steam'}, {'label': 'E', 'text': 'committing perjury'}], 'stem': 'He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?'}",obstructing justice,"He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?","A: prosecution, B: getting hurt, C: sweat, D: steam, E: committing perjury"
E,e89a2762d578cb7bc2cc0a5b2a16d933,"{'question_concept': 'buy presents for others', 'choices': [{'label': 'A', 'text': 'tears'}, {'label': 'B', 'text': 'please'}, {'label': 'C', 'text': 'like'}, {'label': 'D', 'text': 'thank'}, {'label': 'E', 'text': 'make happy'}], 'stem': 'What kind of feelings does buying presents for others create?'}",buy presents for others,What kind of feelings does buying presents for others create?,"A: tears, B: please, C: like, D: thank, E: make happy"
D,30e66db11e0257a14a17108b90cd69fb,"{'question_concept': 'current', 'choices': [{'label': 'A', 'text': 'later'}, {'label': 'B', 'text': 'updated'}, {'label': 'C', 'text': 'still'}, {'label': 'D', 'text': 'resistance'}, {'label': 'E', 'text': 'now'}], 'stem': 'Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?'}",current,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?","A: later, B: updated, C: still, D: resistance, E: now"
E,f21ef67b31bd36a3174b6b4c7b4bbc7b,"{'question_concept': 'teacher', 'choices': [{'label': 'A', 'text': 'lower expectations'}, {'label': 'B', 'text': 'encourage'}, {'label': 'C', 'text': 'fear'}, {'label': 'D', 'text': 'time test'}, {'label': 'E', 'text': 'tell story'}], 'stem': 'What does a kindergarten teacher do before nap time?'}",teacher,What does a kindergarten teacher do before nap time?,"A: lower expectations, B: encourage, C: fear, D: time test, E: tell story"
B,e476e2c8c278eaecfe1a8b884b6aeb8e,"{'question_concept': 'stranger', 'choices': [{'label': 'A', 'text': 'friend'}, {'label': 'B', 'text': 'family'}, {'label': 'C', 'text': 'known person'}, {'label': 'D', 'text': 'park'}, {'label': 'E', 'text': 'outsider'}], 'stem': 'Sam was a stranger.  Even so, Mark treated him like what?'}",stranger,"Sam was a stranger.  Even so, Mark treated him like what?","A: friend, B: family, C: known person, D: park, E: outsider"
D,99098375c7b651d524eebac72e358238,"{'question_concept': 'computer', 'choices': [{'label': 'A', 'text': 'manual'}, {'label': 'B', 'text': 'process information'}, {'label': 'C', 'text': 'power down'}, {'label': 'D', 'text': 'control model'}, {'label': 'E', 'text': 'reason exists'}], 'stem': 'James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?'}",computer,James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?,"A: manual, B: process information, C: power down, D: control model, E: reason exists"
C,6c36226b23377a0dd0188bf56840e22a,"{'question_concept': 'play sports', 'choices': [{'label': 'A', 'text': 'wash your clothes'}, {'label': 'B', 'text': 'get in shape'}, {'label': 'C', 'text': 'practice'}, {'label': 'D', 'text': 'take off uniform'}, {'label': 'E', 'text': 'stretch'}], 'stem': 'To play sports professionally you must do what very often?'}",play sports,To play sports professionally you must do what very often?,"A: wash your clothes, B: get in shape, C: practice, D: take off uniform, E: stretch"
C,aa5aa36557a5fbb93391506182f1025c,"{'question_concept': 'releasing energy', 'choices': [{'label': 'A', 'text': 'motion'}, {'label': 'B', 'text': 'stretch'}, {'label': 'C', 'text': 'exercise'}, {'label': 'D', 'text': 'movement'}, {'label': 'E', 'text': 'muscles'}], 'stem': 'Some people prefer releasing energy through work while others prefer to release it through what?'}",releasing energy,Some people prefer releasing energy through work while others prefer to release it through what?,"A: motion, B: stretch, C: exercise, D: movement, E: muscles"
C,a38df3e750b1edd30f905e17af803c61,"{'question_concept': 'person', 'choices': [{'label': 'A', 'text': 'grope'}, {'label': 'B', 'text': 'acknowledgment'}, {'label': 'C', 'text': 'comfortable clothes'}, {'label': 'D', 'text': 'ipod'}, {'label': 'E', 'text': 'passionate kisses'}], 'stem': 'What will a person going for a jog likely be wearing?'}",person,What will a person going for a jog likely be wearing?,"A: grope, B: acknowledgment, C: comfortable clothes, D: ipod, E: passionate kisses"
E,dba51270f789c75a2e38a5201b124d99,"{'question_concept': 'reading newspaper', 'choices': [{'label': 'A', 'text': 'patience'}, {'label': 'B', 'text': 'falling down'}, {'label': 'C', 'text': 'literacy'}, {'label': 'D', 'text': 'buying'}, {'label': 'E', 'text': 'knowing how to read'}], 'stem': ""The child pretended he was reading newspaper, he couldn't actually do it without what?""}",reading newspaper,"The child pretended he was reading newspaper, he couldn't actually do it without what?","A: patience, B: falling down, C: literacy, D: buying, E: knowing how to read"
A,1be8ec824eb0c7218b6bc160fd191428,"{'question_concept': 'helping', 'choices': [{'label': 'A', 'text': 'satisfaction'}, {'label': 'B', 'text': 'complications'}, {'label': 'C', 'text': 'train'}, {'label': 'D', 'text': 'feel good about yourself'}, {'label': 'E', 'text': 'enjoyment'}], 'stem': 'Jenny enjoyed helping people.  It brought her a great deal of what?'}",helping,Jenny enjoyed helping people.  It brought her a great deal of what?,"A: satisfaction, B: complications, C: train, D: feel good about yourself, E: enjoyment"
B,0e80f2afe5c4f652e8720b52d7c06c87,"{'question_concept': 'cleaning clothes', 'choices': [{'label': 'A', 'text': 'feminism'}, {'label': 'B', 'text': 'sanitation'}, {'label': 'C', 'text': 'ruined'}, {'label': 'D', 'text': 'wrinkles'}, {'label': 'E', 'text': 'buttons to fall off'}], 'stem': 'What might someone believe in if they are cleaning clothes?'}",cleaning clothes,What might someone believe in if they are cleaning clothes?,"A: feminism, B: sanitation, C: ruined, D: wrinkles, E: buttons to fall off"
D,fcd39cfa321728fea069a6ae4285b06f,"{'question_concept': 'program', 'choices': [{'label': 'A', 'text': 'learn how to'}, {'label': 'B', 'text': 'have a friend'}, {'label': 'C', 'text': 'knowledge'}, {'label': 'D', 'text': 'take class'}, {'label': 'E', 'text': 'have computer'}], 'stem': 'In order to learn to program from another person you can do what?'}",program,In order to learn to program from another person you can do what?,"A: learn how to, B: have a friend, C: knowledge, D: take class, E: have computer"
B,7d7f7d7a8ae3b20ca9fc0da6efe467b4,"{'question_concept': 'going fishing', 'choices': [{'label': 'A', 'text': 'food'}, {'label': 'B', 'text': 'relaxation'}, {'label': 'C', 'text': 'killing'}, {'label': 'D', 'text': 'missing morning cartoons'}, {'label': 'E', 'text': 'boredom'}], 'stem': 'The man was going fishing instead of work, what is he seeking?'}",going fishing,"The man was going fishing instead of work, what is he seeking?","A: food, B: relaxation, C: killing, D: missing morning cartoons, E: boredom"
A,26ce83b8e9a263079aa8cdbd5258d667,"{'question_concept': 'reply', 'choices': [{'label': 'A', 'text': 'initiate'}, {'label': 'B', 'text': 'ignore'}, {'label': 'C', 'text': 'question'}, {'label': 'D', 'text': 'answer'}, {'label': 'E', 'text': 'ask'}], 'stem': ""The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?""}",reply,"The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?","A: initiate, B: ignore, C: question, D: answer, E: ask"
E,30138608d4934a75cf0911a06b021374,"{'question_concept': 'anybody', 'choices': [{'label': 'A', 'text': 'question authority'}, {'label': 'B', 'text': 'act fool'}, {'label': 'C', 'text': 'wash dishes'}, {'label': 'D', 'text': 'act innocent'}, {'label': 'E', 'text': 'forget'}], 'stem': ""I couldn't find anybody who recalled the event, what were they adroit at doing?""}",anybody,"I couldn't find anybody who recalled the event, what were they adroit at doing?","A: question authority, B: act fool, C: wash dishes, D: act innocent, E: forget"
E,15c38f66e811d6ed68cde931bc31d93c,"{'question_concept': 'diving', 'choices': [{'label': 'A', 'text': 'going somewhere'}, {'label': 'B', 'text': 'splats'}, {'label': 'C', 'text': 'cancer'}, {'label': 'D', 'text': 'getting wet'}, {'label': 'E', 'text': 'spinal injuries'}], 'stem': 'Diving into backyard pools can be very dangerous and can lead to serious head and what?'}",diving,Diving into backyard pools can be very dangerous and can lead to serious head and what?,"A: going somewhere, B: splats, C: cancer, D: getting wet, E: spinal injuries"
A,21763a65765b5405c9a54484c2e54a72,"{'question_concept': 'people', 'choices': [{'label': 'A', 'text': 'end of line'}, {'label': 'B', 'text': 'buildings'}, {'label': 'C', 'text': 'apartment'}, {'label': 'D', 'text': ""neighbor's house""}, {'label': 'E', 'text': 'address'}], 'stem': 'Where are people likely to become impatient?'}",people,Where are people likely to become impatient?,"A: end of line, B: buildings, C: apartment, D: neighbor's house, E: address"
